"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X221","San José de Maipo","Autos, camionetas y 4x4","5190000","Vendo","2013","https://www.yapo.cl/region_metropolitana/autos/suzuki_sx4_2013_4x4_73708723.htm?ca=15_s&oa=73708723&xsp=22"
"X222","Paine","Motos","1150000","Vendo","2013","https://www.yapo.cl/region_metropolitana/motos/yamaha_fz_2_0_2016_73708722.htm?ca=15_s&oa=73708722&xsp=23"
"X223","Maipú","Bicicletas, ciclismo y accesorios",NA,"Vendo","2018","https://www.yapo.cl/region_metropolitana/bicicletas_ciclismo/bicicleta_aro_20_73708721.htm?ca=15_s&oa=73708721&xsp=24"
"X224","Santiago","Juguetes","4000","Vendo","2016","https://www.yapo.cl/region_metropolitana/juguetes/uss_enterprise_star_trek_hotwheels_73708719.htm?ca=15_s&oa=73708719&xsp=25"
"X225","Las Condes","Otros artículos del hogar","25000","Vendo","2015","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/juego_de_11_cuadros___living_73708718.htm?ca=15_s&oa=73708718&xsp=26"
"X226","El Bosque","Accesorios y piezas para vehículos","25000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_kia_sportage_envios_a_regiones_73708717.htm?ca=15_s&oa=73708717&xsp=27"
"X227","Santiago","Audio, TV, video y fotografía",NA,"Vendo","2019","https://www.yapo.cl/region_metropolitana/television_camaras/televisor_lg_4k_de_50_pulgadas_73708713.htm?ca=15_s&oa=73708713&xsp=28"
"X228","Buin","Accesorios y piezas para vehículos","5000","Vendo","2020","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/llave_corta_corriente_caterpillar_73708712.htm?ca=15_s&oa=73708712&xsp=29"
"X229","Santiago","Moda y vestuario","3000","Vendo","2014","https://www.yapo.cl/region_metropolitana/moda-vestuario/pantalon_palazzo_media_pierna_opossite_73708711.htm?ca=15_s&oa=73708711&xsp=30"
"X230","San Miguel","Calzado","55000","Vendo","2014","https://www.yapo.cl/region_metropolitana/calzado/zapatillas_adidas_terrex_ax3_goretex___nuevas_73708710.htm?ca=15_s&oa=73708710&xsp=31"
"X231","Puente Alto","Libros y revistas","4000","Vendo","2017","https://www.yapo.cl/region_metropolitana/libros_revistas/libro_simon_y_el_carro_de_fuego_73708708.htm?ca=15_s&oa=73708708&xsp=32"
"X232","Pudahuel","Negocios, maquinaria y construcción",NA,"Vendo","2013","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/dispensador_papel_higienico_jumbo_73708706.htm?ca=15_s&oa=73708706&xsp=33"
"X233","La Granja","Celulares, teléfonos y accesorios","3e+05","Vendo","2016","https://www.yapo.cl/region_metropolitana/celulares/bu_co_iphone_8_plus_73708705.htm?ca=15_s&oa=73708705&xsp=34"
"X234","Pudahuel","Negocios, maquinaria y construcción",NA,"Vendo","2013","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/maquina_termofusion_pantalla_digital_73708704.htm?ca=15_s&oa=73708704&xsp=35"
"X235","Isla de Maipo","Buses, camiones y furgones",NA,"Vendo","2017","https://www.yapo.cl/region_metropolitana/camiones_furgones/furgon_gas_y_bencina_73708703.htm?ca=15_s&oa=73708703&xsp=36"
"X236","El Bosque","Accesorios y piezas para vehículos","25000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_rejilla_kia_morning_envios_a_regiones_73708700.htm?ca=15_s&oa=73708700&xsp=37"
"X237","Providencia","Computadores y accesorios","380000","Vendo","2014","https://www.yapo.cl/region_metropolitana/computadores/surface_pro_3__cuotas_tc_73334066.htm?ca=15_s&oa=73334066&xsp=38"
"X238","El Bosque","Accesorios y piezas para vehículos","45000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_kia_carens_18_19_envios_a_regiones_73708698.htm?ca=15_s&oa=73708698&xsp=39"
"X239","San Bernardo","Muebles","60000","Vendo","2014","https://www.yapo.cl/region_metropolitana/muebles/sofa_3_cuerpo_73708697.htm?ca=15_s&oa=73708697&xsp=40"
"11","Independencia","Vendo - Casa",NA,NA,"2014","https://www.yapo.cl/region_metropolitana/comprar/casona_en_independencia_73708696.htm?ca=15_s&oa=73708696&xsp=41"
"X240","Las Condes","Moda y vestuario","25000","Vendo","2019","https://www.yapo.cl/region_metropolitana/moda-vestuario/poncho_original_100__de_alpaca_traido_de_san_pedro_73708693.htm?ca=15_s&oa=73708693&xsp=42"
"X241","Buin","Accesorios y piezas para vehículos","5000","Vendo","2020","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/llave_jcb_nueva_73708691.htm?ca=15_s&oa=73708691&xsp=43"
"X242","San Miguel","Bicicletas, ciclismo y accesorios","80000","Vendo","2019","https://www.yapo.cl/region_metropolitana/bicicletas_ciclismo/bicicletas_montanera_rin_26_73708685.htm?ca=15_s&oa=73708685&xsp=44"
"X243","El Bosque","Accesorios y piezas para vehículos","30000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_mitsubishi_l200_envios_a_regiones_73708684.htm?ca=15_s&oa=73708684&xsp=45"
"X244","Melipilla","Buses, camiones y furgones","18500000","Vendo","2017","https://www.yapo.cl/region_metropolitana/camiones_furgones/2006_volkswagen_titan_18310_6x2_73708676.htm?ca=15_s&oa=73708676&xsp=46"
"X245","Pudahuel","Accesorios y piezas para vehículos","150000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/puerta_chery_fulwin_73708673.htm?ca=15_s&oa=73708673&xsp=47"
"X246","Peñalolén","Animales y sus accesorios","3000","Vendo","2015","https://www.yapo.cl/region_metropolitana/animales_accesorios/shampoo_perro__73708672.htm?ca=15_s&oa=73708672&xsp=48"
"12","Macul","Servicios","3000",NA,"2020","https://www.yapo.cl/region_metropolitana/servicios/tazas_personalizadas_73708668.htm?ca=15_s&oa=73708668&xsp=49"
"X247","Vitacura","Consolas, videojuegos y accesorios","12000","Vendo","2020","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/ufc_2010_ps3_73708971.htm?ca=15_s&oa=73708971&xsp=0"
"X248","Cerrillos","Negocios, maquinaria y construcción",NA,"Vendo","2020","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/improsora_para_codigo_barra__73708969.htm?ca=15_s&oa=73708969&xsp=1"
"X249","Pudahuel","Negocios, maquinaria y construcción",NA,"Vendo","2013","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/mascara_para_soldar_73708968.htm?ca=15_s&oa=73708968&xsp=2"
"X250","Santiago","Juguetes","3000","Vendo","2016","https://www.yapo.cl/region_metropolitana/juguetes/minecraft_minecart_hotwheels_73708966.htm?ca=15_s&oa=73708966&xsp=3"
"X251","Padre Hurtado","Autos, camionetas y 4x4","5930000","Vendo","2016","https://www.yapo.cl/region_metropolitana/autos/kia_rio_5__full__2015__unico_dueno_73708962.htm?ca=15_s&oa=73708962&xsp=4"
"X252","Recoleta","Accesorios y piezas para vehículos","25000","Vendo","2018","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/volkswagen_bora_carter_73708961.htm?ca=15_s&oa=73708961&xsp=5"
"X253","Maipú","Moda y vestuario","9000","Vendo","2016","https://www.yapo.cl/region_metropolitana/moda-vestuario/body_de_satin_73708958.htm?ca=15_s&oa=73708958&xsp=6"
"X254","Santiago","Autos, camionetas y 4x4","1000","Vendo","2020","https://www.yapo.cl/region_metropolitana/autos/baic_x55_2017_en_desarme_73708957.htm?ca=15_s&oa=73708957&xsp=7"
"X255","Puente Alto","Computadores y accesorios","120000","Vendo","2014","https://www.yapo.cl/region_metropolitana/computadores/mini_computador_hp_620lx_73708955.htm?ca=15_s&oa=73708955&xsp=8"
"X256","Melipilla","Animales y sus accesorios","6000","Vendo","2019","https://www.yapo.cl/region_metropolitana/animales_accesorios/huevos_fertiles_avestruz_y_nandu_73708954.htm?ca=15_s&oa=73708954&xsp=9"
"X257","Cerrillos","Calzado","5000","Vendo","2014","https://www.yapo.cl/region_metropolitana/calzado/zapatillas_nina_n_29_73708953.htm?ca=15_s&oa=73708953&xsp=10"
"13","Macul","Ofertas de empleo",NA,NA,"2019","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/lavador_de_chasis_y_motores__73708951.htm?ca=15_s&oa=73708951&xsp=11"
"X258","Santiago","Juguetes","3000","Vendo","2016","https://www.yapo.cl/region_metropolitana/juguetes/007_mustang_mach_1_73708950.htm?ca=15_s&oa=73708950&xsp=12"
"X259","Santiago","Calzado","25000","Vendo","2020","https://www.yapo.cl/region_metropolitana/calzado/botin_casual_73708949.htm?ca=15_s&oa=73708949&xsp=13"
"X260","Recoleta","Accesorios y piezas para vehículos","25000","Vendo","2018","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mk4_volkswagen_golf_carter_73708944.htm?ca=15_s&oa=73708944&xsp=14"
"X261","Ñuñoa","Autos, camionetas y 4x4","2950000","Vendo","2018","https://www.yapo.cl/region_metropolitana/autos/volkswagen_golf_a4_highline_2005_73708942.htm?ca=15_s&oa=73708942&xsp=15"
"X262","El Bosque","Accesorios y piezas para vehículos","20000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_suzuki_celerio_09_13_envios_a_regiones_73708941.htm?ca=15_s&oa=73708941&xsp=16"
"14","La Florida","Servicios",NA,NA,"2017","https://www.yapo.cl/region_metropolitana/servicios/tabla_de_picoteo_dulce_y_salada_73708934.htm?ca=15_s&oa=73708934&xsp=17"
"X263","La Florida","Música y películas (DVDs, etc.)","11000","Vendo","2013","https://www.yapo.cl/region_metropolitana/musica_peliculas/joy_division___still___deluxe_edition__2_cd_s__73708932.htm?ca=15_s&oa=73708932&xsp=18"
"X264","El Bosque","Electrodomésticos","80000","Vendo","2015","https://www.yapo.cl/region_metropolitana/electrodomesticos/cocina_mademsa_73708931.htm?ca=15_s&oa=73708931&xsp=19"
"X265","Quinta Normal","Coches y artículos infantiles","190000","Vendo","2017","https://www.yapo.cl/region_metropolitana/coches-articulos-infantiles/cuna_madera_73708930.htm?ca=15_s&oa=73708930&xsp=20"
"X266","Santiago","Moda y vestuario","3000","Vendo","2014","https://www.yapo.cl/region_metropolitana/moda-vestuario/calzas_pata_ancha_tenidas_73708929.htm?ca=15_s&oa=73708929&xsp=21"
